,row,cost
421,1240,") :
$741.62 (intemraters, security, |
alrpart services, travel Ins. i
medic)

Total Meal

Expenses

‘|$417.49

‘Total Transportation
Expenses

1$10,548.05

‘Total Lodging

Expenses

| Traveler

| Accompanying
| "
422,1241,")
$600 for private meeting
Traveler $2860 $1196 $570 space, AV, conf. services
Accompanying
"
423,1242,")

$600 for private meeting
Traveler $300 $1196 $570 space, AV, conf. services
Accompanying
"
424,1243,")

$9,509.35 $1,250.00 $417.49 $741.62 (interpreters, security,

Traveler airport services, travel ins.,
medic)

Accompanying N/A N/A N/A N/A
"
425,1244,")
$600 for private meeting
Traveler $4615 $1196 $570 space, AV, conf. services
Accompanying
"
426,1245,")
$1196 $600 for private meeting
Traveler $3968 $570 space, AV, conf. services
Accompanying $570 $600 for private meeting
"
427,1246,")
$1196 $600 for private meeting
Traveler $4367 $570 space, AV, conf. services
Accompanying $570 $600 for private meeting
"
428,1270,")
$10,786.45 $1,250.00 $417.49 $741.62 (interpreters, security,

Traveler

airport services, travel ins., medic)

Accompanying
"
429,1297,")
$2,593.68 $1,495.54 $470.71

Traveler

Accompanying

"
430,1298,")
$1,668.39 $1,495.54 $487.76

Traveler

Accompanying

"
431,1299,")
$5,022.1 5 $531.37 $290.83 $85.31 (translators)
Traveler $38 (visa)

$9.23 (cultural activity/guide)

Accompanying
"
432,1300,")
$5,022.1 5 $531.37 $290.83 $85.31 (translators)
Traveler $38 (visa)

$9.23 (cultural activity/guide)

Accompanying
"
433,1301,")

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

$5,022.15 $290.83

$85.31 (translators)
$38 (visa)
$39.23 (cultural activity/guide}

a

6. [a] All expenses connected to the trip were for actual costs incurred and not a per diem or lump sum payment.
Signify statement is true by checking box.

Traveler

Accompanying
"
434,1303,")
$5,022.1 5 $531.37 $290.83 $85.31 (translators)
Traveler $38 (visa)

$9.23 (cultural activity/guide)

Accompanying
"
435,1304,")
$2,060.79 $1,495.54 $487.76

Traveler

Accompanying

"
436,1305,")
$1,668.29 $1,495.54 $492.15

Traveler

Accompanying

"
437,1306,")
$1,668.29 $1,495.54 $489.32

Traveler

Accompanying

"
438,1312,")
$1,806.07 $1,495.54 $489.32

Traveler

Accompanying

"
439,1313,")

pee s| 112 $820 $30 per person - Bus
Traveler Transportation

$20 per person - Admission Fees

’ $30 per person - Bus
Accompanying |S addendum ae 112 $820 Framenriall =
"
440,1314,")
$1,826.57 $1,495.54 $475.30
Traveler
Accompanying
"
441,1315,")
See addendum $1,112 $820 $90 per pes person - Bus
$00 per per per person - - Admission Fees
$30 Bus
Accompanying See addendum $1,112 $20 per Person -
"
442,1316,Error making sandwich
443,1317,")

Total Transportation
| Expenses

In ; See addendum
‘aveler

+

as See addendum

| "
444,1318,")

See addendum $1,112 $820 $30 per person - Bus
Transportation

$20 per person - Admission Fees
|

. $30 per person - Bus
Accompanying |S€e addendum $1,112 $820 paeduadectia

"
445,1322,")

| Total Transportation Total Lodging Total Meal
Expenses [sem Expenses

$1,773.82 $1,495.54 $470.71

Traveler

Accompanying
"
446,1323,")

pee s| 112 $820 $30 per person - Bus
Traveler Transportation

$20 per person - Admission Fees

’ $30 per person - Bus
Accompanying |S addendum ae 112 $820 Framenriall =
"
447,1324,error
448,1325,")

$820 $30 per person - Bus
Transportation
$20 per person - Admission Fees

$30 per person - Bus
Transportation
$20 per person - Admission Fees

Total Transportation
Expenses

[ See addendum

Traveler

1
Accompanying |See addendum

"
449,1326,")
$1,851.91 $1,495.54 $470.71
Traveler , ,
Accompanying
"
450,1327,")
$1,852.37 $1,495.54 $487.76

Traveler

Accompanying

"
451,1329,
452,1330,")

$1,717.63 $1,495.54 $463.38 Po

6. [a] All expenses connected to the trip were for actual costs incurred and not a per diem or lump sum payment.
Signify statement is true by checking box.

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying
"
453,1331,")
$1,717.63 $1,495.54 $475.30

Traveler

Accompanying

"
454,1333,")
$1,845.91 $1,495.54 $470.71
Traveler
Accompanying
"
455,1334,")

See addendum $1,112 $820 $30 per person - Bus
Transportation

$20 per person - Admission Fees

~~ $30 per person - Bi
Accompanying |See addendum $1,112 $820 Fe eatin us

"
456,1336,")

$1.858.21 $1,495.54 $463.38

Traveler

Accompanying

"
457,1337,")
$1,717.62 $1,495.54 $492.15

Traveler

Accompanying

"
458,1338,Error making sandwich
459,1339,")

pee s| 112 $820 $30 per person - Bus
Traveler Transportation

$20 per person - Admission Fees

’ $30 per person - Bus
Accompanying |S addendum ae 112 $820 Framenriall =
"
460,1345,")

Total Meal
Expenses

Total Transportation Total Lodging
Expenses Expenses

$1,821.59 $1,495.54 $475.30
Traveler
Accompanying
"
461,1346,")
$1,663.30 $1,495.54 $492.15

Traveler

Accompanying

"
462,1347,")
$1,717.63 $1,495.54 $470.71

Traveler

Accompanying

"
463,1473,")

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler USD $10,909.25 USD $616.21 |USD $200
(€ 578.00)

Accompanying |N/A N/A

"
464,1475,")
$1,741.56 $1,495.86 $323.97 $6,246.38. See attached.
Traveler
a
Accompanying
"
465,1476,")

$15,997 $1436 $460 $13.50 (Mandatory Travel
(approximate) | Health Insurance)

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying
"
466,1477,")
Waveler $12,904 $1436 $560 $13.50 (Mandatory Travel
(approximate) | Health Insurance)
Accompanying
"
467,1478,")

$1,573 $560 $13.50 (Mandatory Travel
(approximate) |Health Insurance)
$560 $13.50 (Mandatory Travel
(approximate) | Health Insurance)
6. [a] All expenses connected to the trip were for actual costs incurred and not a per diem or lump sum payment.
Signify statement is true by checking

Total Meal
Expenses

Total Lodging
Expenses

"
468,1479,")

$15,997 $1436 $460 $13.50 (Mandatory Travel
(approximate) | Health Insurance)

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying
"
469,1480,")

$1535 $1052 $400 $305
Traveler
Accompanying |$1120 $0 $400
"
470,1481,")

$13.50 (Mandatory Travel
Health Insurance)

Total Meal
Expenses

Total Transportation Total Lodging
Expenses Expenses

Traveler $14,235 $1,573
Accompanying {$14,335
"
471,1482,")
$11,343.14 $2,187.84 $1,024.46 $2,840.96
Traveler breakdown attached
Accompanying nia nia nla nla
"
472,1486,Error making sandwich
473,1487,")
$7,278.34 $2,187.84 $1,024.46 $2,840.96
Traveler breakdown attached
Accompanying n/a n/a n/a n/a
"
474,1488,")

$12,567.59 $1,419.00 —° |$320.20 Anterpretation 180.42

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler Travel insur. 57.88
Total $238.29

Accompanying

"
475,1489,")
Interpretation 180.42
Traveler $14,796.93 $1672.00 $581.31 Travel insur. 57.88
Total $238.29
Accompanying
"
476,1490,")
$17,888.57 $1,957.00 $1,410.00 $1,250.25
Traveler (security, guide, entrance fees,
private rooms)
A $17,888.57 $1,957.00 $1,410.00 $1,250.25
Accompanying {security, guide, entrance fees,
"
477,1491,")

$9,387.27 ~ — 1$3,762.00 $1,410.00 $1,250.25
Traveler = (security, guide, entrance fees,
; private rooms)
Accompanying N/A N/A N/A N/A
"
478,1492,
479,1493,Error making sandwich
480,1494,")

$14,046.77 $1,957.00 $1,410.00 $1,250.25
Traveler (security, guide, entrance fees,
private rooms)
«  1$14,046.77 $1,957.00 $1,410.00 $1,250.25
Accompanying (security, guide, entrance fees,
"
481,1495,")
$8,995.34 $2,187.84 $1,024.46 $2,840.96
Traveler breakdown attached
Accompanying nia nia nla nla
"
482,1496,")
$17,039.47 $1,957.00 $1,410.00 $1,250.25
Traveler (security, guide, entrance fees,
private rooms)
*separate form *separate form | *separate “separate form

Accompanying
"
483,1497,Error making sandwich
484,1498,")
$7,278.34 $2,187.84 $1,024.46 $2,840.96
Traveler breakdown attached
Accompanying nia nia nla nla
"
485,1499,")
Interpretation 180.42
Traveler $14,796.93 $1672.00 $581.31 Travel insur. 57.88
Total $238.29
Accompanying
"
486,1500,")
Interpretation 180.42
Traveler $9,257.10 $1672.00 $409.76 Travel insur. 57.88
Total $238.29
Accompanying
"
487,1501,")
$7,278.34 $2,187.84 $1,024.46 $2,840.96
Traveler breakdown attached
Accompanying n/a n/a n/a n/a
"
488,1502,")

$2,840.96
breakdown attached

Total Meal
Expenses

$11,343.14 $2,187.84 $1,024.46

n/a n/a n/a

Total Transportation
Expenses

Total Lodging
Expenses

Traveler

Accompanying
"
489,1503,")
$7,171.34 $2,187.84 $1,024.46 $2,840.96
Traveler breakdown attached
Accompanying nia nia nla nla
"
490,1504,")
$11,343.14 $2,187.84 $1,024.46 $2,840.96
Traveler breakdown attached
Accompanying n/a ; n/a n/a n/a
"
491,1505,")
$7,278.34 $2,187.84 $1,024.46 $2,840.96
Traveler breakdown attached
Accompanying n/a n/a n/a n/a
"
492,1506,")

$2,840.96

$2,187.84 $1,024.46
. breakdown attached

Traveler

n/a nla n/a

t

Accompanying n/a
"
493,1507,")
$9,210.34 $2,187.84 $1,024.46 $2,840.96

Traveler breakdown attached |
n/a n/a n/a n/a

Accompanying
"
494,1508,Error making sandwich
495,1509,")

$12,567.59 $1,419.00 —° |$320.20 Anterpretation 180.42

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler Travel insur. 57.88
Total $238.29

Accompanying

"
496,1510,")
Interpretation 180.42
Traveler $14,277.05 $1672.00 $409.76 Travel insur. 57.88
Total $238.29
Accompanying
"
497,1511,")
$1985 $1052 $400 $305
Traveler
Accompanying |$2453 $0 $400 $305
"
498,1512,")

12,971.49 1338.73 601.46 525.42 (Interpreters, Room
Rentals, Entry Fees, Guide)

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying
"
499,1513,")
Travel 10,619.22 669.37 631.10 525.42 (Interpreters, Room
Traveler Rentals, Entry Fees, Guide)
Accompanying | 10,541.91 669.37 609.07 486.24 (Interpreters, Room
"
500,1514,")

$1860 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1860 $0 $400 $305

"
501,1515,")
$1750 $1052 $400 $305
Traveler
Accompanying |$1750 $0 $400 $305
"
502,1516,")

$1855 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1325 $0 $400 $305

"
503,1517,")

$1860 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1860 $0 $400 $305

"
504,1518,")
$1700 $1052 $400 $305
Traveler
Accompanying
"
505,1519,")

$1550 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1550 $0 $400 $305

"
506,1520,")

$1755 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1755 $0 $400 $305

"
507,1521,")
Interpretation 180.42
Traveler $14,277.05 $1672.00 $409.76 Travel insur. 57.88
Total $238.29
Accompanying
"
508,1522,")

Travel 19,544.82 669.37 441.26 525.41 (Interpreters, Room
i Rentals, Entry Fees, Guide)

Accompanying | 19,467.51 669.37 419.23 486.24 (Interpreters, Room

"
509,1523,")
Travel 13,602.72 669.37 631.10 525.42 (Interpreters, Room
Faveler Rentals, Entry Fees, Guide)
Accompanying | 13,525.41 669.37 609.07 486.24 (Interpreters, Room
"
510,1524,")

Total Lodging Total Meal
Expenses Expenses

Total Transportation
Expenses

525.42 (Interpreters, Room
Rentals, Entry Fees, Guide)

14,984.22 669.37 631.10

Traveler

Accompanying | 14,906.91
"
511,1525,")
Travel 11,127.82 669.37 601.46 525.42 (Interpreters, Room
Faveler Rentals, Entry Fees, Guide)
Accompanying | 11,050.51 669.37 579.43 486.24 (Interpreters, Room
"
512,1526,")
Travel 10,619.22 669.37 631.10 525.42 (Interpreters, Room
Faveler Rentals, Entry Fees, Guide)
Accompanying | 10,541.91 669.37 609.07 486.24 (Interpreters, Room
"
513,1527,")
Travel 12,746.02 669.37 601.46 525.42 (Interpreters, Room
Traveler Rentals, Entry Fees, Guide)
Accompanying | 12,668.70 669.37 579.43 486.24 (Interpreters, Room
"
514,1528,")

$1775 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1300 $0 $400 $305

"
515,1529,")
$2210 $1052 $400 $305
Traveler
Accompanying | $2210 $0 $400 $305
"
516,1530,")

$1355 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1355 $0 $400 $305

"
517,1531,")

$1555 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1555 $0 $400 $305

"
518,1532,")

$1415 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1415 $0 $400 $305

"
519,1533,") |
—

$1705 $1052 $400 $305
Traveler
Accompanying | $1655 $0 $400 [$305
"
520,1534,")

$1410 $1052 $400 $305

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Traveler

Accompanying |$1370 $0 $400 $305

"
521,1535,")
$1940 $1052 $400 $305
Traveler |
| Accompanying | $1940 $0 's400 $305
| "
522,1536,")

$2570 $1052 $400 $305
Traveler
Accompanying |$2570 $400 $305
"
523,1537,")
$1985 $1052 $400 $305
Traveler
Accompanying |$2453 $0 $400 $305
"
524,1538,") |
—

$1705 $1052 $400 $305
Traveler
Accompanying | $1655 $0 $400 [$305
"
525,1539,")
$11,450 $2,110 $1,212 See Attached
Traveler
Accompanying $11,450 $151 $1,212 See Attached
"
526,1540,")
$11,850 $2,110 $1,212 See Attached
Traveler
Accompanying N/A N/A N/A See Attached
"
527,1541,")
$14,900 $2,110 $1,212 See Attached
Traveler
Kecompanyine $14,900 $151 | $1,212 See Attached
"
528,1542,")

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

$13,620 $2,110 $1,212 See Attached
Traveler
Accompanying | N/A N/A N/A See Attached
"
529,1544,")
$9,333 $2,110 $1,212 See Attached
Traveler
Accompanying N/A N/A N/A See Attached
"
530,1545,")
$9,558 $2,110 $1,212 See Attached
Traveler
Accompanying N/A N/A N/A See Attached
"
531,1546,")
$11,390 $2,110 $1,212 See Attached
Traveler
Accompanying |$9,890 $151 $1,212 See Attached
"
532,1547,")
$10,950 $2,110 $1,212 See Attached
Traveler
Accompanying N/A N/A N/A See Attached
"
533,1549,")
$11,207 $2,110 $1,212 See Attached
Traveler
Accompanying $13,949 $151 $1,212 See Attached
"
534,1550,")
$11,100 $2,110 $1,212 See Attached
Traveler
Accompanying $11,100 $151 $1,212 See Attached
"
535,1552,")
$11,000 $2,110 $1,212 See Attached
Traveler
Accompanying N/A N/A N/A See Attached
"
536,1553,")
$8,039 $2,110 $1,212 See Attached
Traveler
Accompanying | $10,900 $151 $987 See Attached
"
537,1555,")
$10,900 $2,110 $987 See Attached
Traveler
Accompanying $10,900 $151 $987 See Attached
"
538,1562,")
$8,520 $2,110 $912 See Attached
Traveler
Accompanying $17,100 $151 $912 See Attached
"
539,1569,")
$2173.16 $329.92 $121.15 Meeting Space Rental Fee: $5.35
Traveler Interpretation Expenses: 54.82

Coffee Breaks: 40.13

Accompanying
"
540,1615,")
Traveler $6,095 $1410 $615 $0
Accompanying
"
541,1616,")
Traveler $6,095 $1410 $615 $0
Accompanying | $6,095 $80 $615 $0
"
542,1617,Error making sandwich
543,1618,")
Traveler $6,095 $1410 $615 $0
Accompanying
"
544,1619,")
Traveler $6,095 $1410 $615 $0
Accompanying
"
545,1622,")
‘tavelise $6,095 $1410 $615 $0 |
Accompanying | $6,095 $80 $615 $0
"
546,1623,")
Traveler $6,095 $1410 $615 $0
Accompanying
"
547,1625,")
T
Traveler $6,095 $1410 $615 | $0
Accompanying | $6,095 $80 $615 $0
"
548,1688,")
_ $1899.97 (flights) $351.33 $411.36 $115.98
Traveler Airport/hotel transportation
a70 44
Accompanying N/A N/A N/A N/A
"
549,1711,")

$ 9,291.23 $1,054.94 $300.29 $257.45 for taxis
Traveler
Accompanying N/A N/A N/A N/A
"
550,1712,")
$1,203. 92 $236.60 $0.00
Traveler
Accompanying N/A N/A N/A
"
551,1713,")
Round Trip Flights:$2975.91
Traveler Ground Transportation: $3400. 00 $964.08 $0
$111.54
Accompanying |N/A N/A N/A N/A
"
552,1714,")

$2,307.50 $316.72 $116.56 Coffee breaks: $12.89
Traveler Interpretation/AV: $188.02
Accompanying
"
553,1715,error
554,1716,")
Round Trip Flights: $2975.91
Traveler Ground Transportation: $3400. 00 $964.08 $0
$111.54
Accompanying |N/A N/A N/A N/A
"
555,1717,")
$7,750.57 $932.00 $656.27 $826.92: Meeting and dining room
Traveler rentals, Covid Tests, Security.
. $826.92: Meeti id dini
Accompanying | $7,730.57 $656.27 92: Meeting and dining room
"
556,1718,Error making sandwich
557,1719,")

8,760.27 E $826.92: Meeting and dining room
$ $656.27 rentals, Covid Tests, Security.

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Accompanying $9,265.57 $656.27 $826.92: Meeting and dining room

rentals, Covid Tests, Security.

"
558,1720,Error making sandwich
559,1721,")
$8,020.17 $932.00 $656.27 $826.92: Meeting and dining room

Traveler rentals, Covid Tests, Security.

$656.27 $826.92: Meeting and dining room

Accompanying $8,000.1 7 rentals, Covid Tests, Security.

"
560,1722,")
Round Trip Flights: $8,287.82

Roma iorians-887078 [$3400.00 | $824.08 os |
$111.54

6. [a] All expenses connected to the trip were for actual costs incurred and not a per diem or lump sum payment.
Signify statement is true by checking box.

Total Meal
Expenses

Accompanying
"
561,1723,Error making sandwich
562,1724,Error making sandwich
563,1725,")
8,544.17 . . $826.92: Meeting and dining room
Traveler $ $932.00 $656.27 rentals, Covid Tests, Security.

$826.92: Meeting and dining room
$656.27 rentals, Covid Tests, Security.

Accompanying | $8,230.67
"
564,1726,error
565,1727,")

$1,375.37 $932.00 $656.27 $826.92: Meeting and dining room
Traveler rentals, Covid Tests, Security.
Accompanying
"
566,1728,")

Total Meal
Expenses

Total Transportation
Expenses

Total Lodging
Expenses

$9,216.17 $826.92: Meeting and dining room

rentals, Covid Tests, Security. _

$932.00 $656.27

Traveler

$826.92: Meeting and dining room
rentals, Covid Tests, Security.

$8,250.67

Accompanying
"
567,1730,")
4

$9,271.07 $932.00 $656.27 $826.92: Meeting and dining room
Traveler rentals, Covid Tests, Security.
Accompanying
"
568,1731,Error making sandwich
569,1732,")
8,595.87 : . $826.92: Meeting and dining room
Traveler $ $932.00 $656.27 rentals, Covid Tests, Security.
i $826.92: Meeting and dining room
Accompanying $8,230.37 $656.27 rentals, Covid Tests, Security.
"
570,1733,")

$8,696.97 $932.00 $656.27 $826.92: Meeting and dining room

Traveler rentals, Covid Tests, Security.
= $6,259.30 (One way, she paid $826.92: Meeting and dining room

Accompanying to continue on after the $656.27 rentals, Covid Tests. Securty,
"
571,1734,")
Round Trip Flights: $2969.00
Traveler Ground Transportation: $2550. 00 $859 .08 $0
$111.54
Accompanying |N/A N/A N/A N/A
"
572,1735,Error making sandwich
573,1736,")
$10,660.57 $932.00 $656.27 $826.92: Meeting and dining room

rentals, Covid Tests, Security.

$826.92: Meeting and dining room
rentais, Covid Tests, Security.

Accompanying | $11,327.48 .

"
574,1737,")

L. a ee : eoneeeone—neeeree | SCUIP |
i | $9,671.97 | $932.00 $656.27 | $826.92: Meeting and dining room |
| Traveler { | ' | rentals, Covid Tests, Security. i
; Accompanying | $7,581.47 | | $656.27 | $826.92: Mesting and dining room |

i

| "
575,1738,Error making sandwich
576,1739,")
Round Trip Flights: $4657.45
Traveler Ground Transportation: $3400. 00 $964.08 $0
$111.54
Accompanying |N/A N/A N/A N/A
"
577,1740,error
578,1741,Error making sandwich
579,1742,")
Round Trip Flights: $6,552.80
Traveler Ground Transportation: $3400.00 $824.08 $0
“ Round Trip Flights: $6,876.40
Accompanying Ground Transportation: $0 $824.08 $0
"
580,1743,")
“I $8,617.17 $932.00 $656.27 $826.92: Meeting and dining room
; Traveler ‘ rentals, Covid Tests, Security,
i
Accompanying

a . —~—L
6. EJ All expenses connected to the trip were for actual costs incurred and not a per diem or lump sum payment.
Signify statement is true by checking box.

"
581,1744,")

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Roua tip Fens: 828006 $3400.00 | $964.08 oe |
$111.54
N/A N/A

Accompanying |N/A
"
582,1745,Error making sandwich
583,1746,Error making sandwich
584,1747,Error making sandwich
585,1748,")

Total Lodging Total Meal
Expenses Expenses

Total Transportation
Expenses

$8,543.97 $932.00 $656.27 $826.92: Meeting and dining room

rentals, Covid Tests, Security.

Traveler

$656.27 $826.92: Meeting and dining room

Accompanying | $7,843.97 rentals, Covid Tests, Security.

"
586,1749,")
Round Trip Flights: $3127.91

ae ena “ee ene ee
$111.54

Accompanying |N/A N/A N/A NIA

"
587,1750,")
$11,124.57 $932.00 $656.27 $826.92: Meeting and dining room

Traveler rentals, Covid Tests, Security.

Accompanying | $11,124.57
"
588,1751,")
$7,750.57 $932.00 $656.27 $826.92: Meeting and dining room
Traveler rentals, Covid Tests, Security.
. $826.92: Meeti id dini
Accompanying | $7,730.57 $656.27 92: Meeting and dining room
"
589,1752,")
9,367.28 . . $826.92: Meeting and dining room
Traveler $ $932.00 | $656.27 rentals, Covid Tests, Security.
Accompanying
"
590,1753,")
Round Trip Flights: $4657.45
Traveler Ground Transportation: $3400. 00 $964.08 $0
$111.54
Accompanying |N/A N/A N/A N/A
"
591,1754,")

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

Round Trip Flights: $6,180.25 $3400.00 $964.08

Traveler Ground Transportation
$111.54

Accompanying |N/A N/A
"
592,1755,")

Total Meal
Expenses

Total Transportation
Expenses

Total Lodging
Expenses

$826.92: Meeting and dining room

$932.00 rentals, Covid Tests, Security.

$656.27

Traveler

| $9,271.07

Accompanying
"
593,1756,")

Traveler

$8,826.37 $932.00 | $656.27 $826.92: Meeting and dining room
rentals, Covid Tests, Security.

$656.27 826.92: Meeting and dining room

Accompanying |0
panying rentals, Covid Tests, Security.

"
594,1757,")
Round Trip Flights: $4601.45
Traveler Ground Transportation: $3400. 00 $964.08 $0
$111.54
Accompanying |N/A N/A N/A N/A
"
595,1758,")
$8,830.97 $932.00 $656.27 $826.92: Meeting and dining room

Traveler rentals, Covid Tests, Security.

$656.27 $826.92: Meeting and dining room

$9,265.97 rentals, Covid Tests, Security.

Accompanying
"
596,1759,")
Round Trip Flights: $3362.65

Traveler Ground Transportation: $11.54 $3400.00 $964.08 $0

Accompanying |N/A N/A N/A N/A

"
597,1760,")
$9,236.20 $2,850.00 $135.00 $25.00 Visa for trip
Traveler
Accompanying |$9,176.50 $135.00 $25.00 Visa for trip
"
598,1761,")
$9,487.07 $699.00 $492.00 $620.19: Meeting and dining room

Traveler rentals, Covid Tests, Security.

$492.00 $620.19 Meeting and dining room

A i 9,467.07
ccompanying $ rentals, Covid Tests, Security.

"
599,1763,")
$6,592.18 $2,550.00 $135.00 $50.00 Visa for trip
Traveler
Accompanying
"
600,1764,")
$9,136.99 $2,550.00 $105.00
Traveler
Accompanying
"
601,1765,")
$9,743.95 $2,850.00 $105.00 $25.00 Visa for trip
Traveler
Accompanying |$9,743.95 $105.00 $25.00 Visa for trip
"
602,1766,")
Round Trip Flights: $2565.62
Traveler Ground Transportation: $2550 $581 .06 $0
$111.54
A Round Trip Flights: $2565.62
Accompanying Ground Transportation: $111.54 $0 $581.06 $0
"
603,1796,")
$2,620.58 $1,295 $925 N/A

Traveler

Accompanying

"
604,1797,")

Total Transportation
Expenses

$200

Total Lodging Total Meal
Expenses Expenses

$1,295

Traveler

Accompanying
"
605,1801,")
$166.66 A ;
Traveler $1,395.12 $660.00 $88.00 (Visa Processing)
Accompanying
"
606,1802,")
$166.66 ‘ :
Traveler $1,395.72 $660.00 $88.00 (Visa Processing)
Accompanying |N/A N/A N/A N/A
"
607,1823,")
$166.66 A ;
Traveler $1,395.12 $660.00 $88.00 (Visa Processing)
Accompanying
"
608,1829,")
$166.66 ‘ :
Traveler $1,395.72 $660.00 $88.00 (Visa Processing)
Accompanying |N/A N/A N/A N/A
"
609,1833,")
$166.66 f F
Traveler $1,395.72 $660.00 $88.00 (Visa Processing)
Accompanying
"
610,1873,")
Traveler $3,935.54 $1,004.65 $525.02 nla
|.
Accompanying |n/a nla n/a n/a
"
611,1874,")
Traveler $3,935.94 $1,004.65 $525.02 n/a
Accompanying |n/a n/a n/a n/a
"
612,1878,")
Traveler $3,935.94 $1,004.65 $525.02 n/a
Accompanying | n/a n/a n/a n/a
"
613,1879,")

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

$3,935.94 $1,004.65 $525.02

Accompanying |n/a n/a nia
"
614,1891,")

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

$3,935.94 $1,004.65 $525.02 nla

Traveler

Accompanying |n/a nla n/a nla

"
615,1895,")
Traveler $3,930.94 $1,004.65 $525.02 n/a
Accompanying | n/a n/a n/a n/a
"
616,1896,")
Traveler $3,935.94 $1,004.65 $525.02 n/a
Accompanying | n/a n/a n/a n/a
"
617,1897,")

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

See attached. See attached. |See attached. |See attached
Traveler
Accompanying NIA
"
618,1898,")

Total Transportation Total Lodging Total Meal
Expenses Expenses Expenses

See attached. See attached. |See attached. |See attached
Traveler
Accompanying NIA
"
619,1899,")
Traveler $3,935.94 $1,004.65 $525.02 n/a
Accompanying | n/a n/a n/a n/a
"
620,1904,")
Traveler $3,935.94 $1,004.65 $525.02 n/a
Accompanying |n/a n/a n/a n/a
"
621,1907,")
See attached. See attached. |/See attached. |See attached
Traveler
Accompanying N/A N/A N/A N/A
"
622,1908,")
See attached. See attached. |/See attached. |See attached
Traveler
Accompanying N/A N/A N/A N/A
"
623,1909,")
‘Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
624,1910,")
‘Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
625,1911,")
‘Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
626,1912,") |
Traveler $1,933.97 i 196.00 $576.00 ~
Accompanying |NA NA NA NA
"
627,1913,") |
Traveler $1,933.97 i 196.00 $576.00 ~
Accompanying |NA NA NA NA
"
628,1914,")
Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
629,1915,")
Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
630,1916,")
Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
631,1917,")
Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
632,1919,")
Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
633,1920,")
See attached. See attached. |See attached. |See attached
Traveler
Accompanying |N/A N/A N/A N/A
"
634,1921,")
Traveler $1,933.97 $1196.00 $576.00 | =
Accompanying |NA NA NA NA
"
635,1922,")
Traveler $1,933.97 $1196.00 $576.00 | =
Accompanying |NA NA NA NA
"
636,1923,")
$7678.89 $1,508.32 $696.67 _-
Traveler
Accompanying |NA NA NA NA
"
637,1924,")
Traveler $1,933.97 $1196.00 $576.00 | =
Accompanying |NA NA NA NA
"
638,1925,")
$7678.89 $1,508.32 $696.67 _-
Traveler
Accompanying |NA NA NA NA
"
639,1926,")
Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
640,1927,")
Traveler $1,933.97 $1196.00 $576.00 --
Accompanying |NA NA NA NA
"
641,1928,")
Traveler $1,933.97 $1196.00 $576.00 a
Accompanying |NA NA NA NA
"
